tag #,data collection date,broodstock,set date,distribution date,total # of live oysters,clump (if any noted),shell_height_mm,Organization,Location,Notes,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,60,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,50,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,105,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,59,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,45,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,42,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,44,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,37,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,40,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,76,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,41,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,47,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,31,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,62,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,26,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,51,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,70,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,50,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,100,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,40,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,40,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,30,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,45,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,60,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,51,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,31,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,27,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,56,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,47,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,48,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,64,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,37,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,62,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,44,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,36,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,41,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,53,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,39,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,75,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,50,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,65,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,75,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,51,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,100,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,50,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,35,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,65,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,39,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,34,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,35,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,33,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,45,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,51,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,61,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,68,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,137,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,30,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,35,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,60,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,39,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,55,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,33,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,45,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
